Category,Condition,UserQuery,BotResponse
Skin Conditions,Eczema,I think I have eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Symptoms of eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Treatment for eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Cure for eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Home remedies for eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Prevention of eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Rashes,Can you tell me about rashes?,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,What is rashes?,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Tell me about rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,I want to know about rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,What are symptoms of rashes?,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,How do I treat rashes?,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,What causes rashes?,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Is rashes serious?,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Do I need a doctor for rashes?,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,What should I do about rashes?,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Help me with rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Information about rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Explain rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,I have rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,I think I have rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Symptoms of rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Treatment for rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Cure for rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Home remedies for rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Rashes,Prevention of rashes,Rashes is changes in skin color or texture. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Can you tell me about fungal infection?,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,What is fungal infection?,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Tell me about fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,I want to know about fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,What are symptoms of fungal infection?,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,How do I treat fungal infection?,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,What causes fungal infection?,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Is fungal infection serious?,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Do I need a doctor for fungal infection?,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,What should I do about fungal infection?,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Help me with fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Information about fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Explain fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,I have fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,I think I have fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Symptoms of fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Treatment for fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Cure for fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Home remedies for fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Fungal infection,Prevention of fungal infection,Fungal infection is infections caused by fungi. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Can you tell me about acne?,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,What is acne?,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Tell me about acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,I want to know about acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,What are symptoms of acne?,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,How do I treat acne?,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,What causes acne?,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Is acne serious?,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Do I need a doctor for acne?,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,What should I do about acne?,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Help me with acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Information about acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Explain acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,I have acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,I think I have acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Symptoms of acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Treatment for acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Cure for acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Home remedies for acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Acne,Prevention of acne,Acne is skin condition with pimples and blemishes. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Can you tell me about psoriasis?,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,What is psoriasis?,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Tell me about psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,I want to know about psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,What are symptoms of psoriasis?,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,How do I treat psoriasis?,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,What causes psoriasis?,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Is psoriasis serious?,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Do I need a doctor for psoriasis?,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,What should I do about psoriasis?,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Help me with psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Information about psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Explain psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,I have psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,I think I have psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Symptoms of psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Treatment for psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Cure for psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Home remedies for psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Psoriasis,Prevention of psoriasis,Psoriasis is autoimmune condition causing skin patches. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Can you tell me about flu (influenza)?,Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),What is flu (influenza)?,Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Tell me about flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),I want to know about flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),What are symptoms of flu (influenza)?,Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),How do I treat flu (influenza)?,Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),What causes flu (influenza)?,Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Is flu (influenza) serious?,Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Do I need a doctor for flu (influenza)?,Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),What should I do about flu (influenza)?,Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Help me with flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Information about flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Explain flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),I have flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),I think I have flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Symptoms of flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Treatment for flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Cure for flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Home remedies for flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,Flu (Influenza),Prevention of flu (influenza),Flu (Influenza) is a viral respiratory infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,COVID-19,Can you tell me about covid-19?,COVID-19 is coronavirus disease causing respiratory symptoms. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,COVID-19,What is covid-19?,COVID-19 is coronavirus disease causing respiratory symptoms. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,COVID-19,Tell me about covid-19,COVID-19 is coronavirus disease causing respiratory symptoms. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,COVID-19,I want to know about covid-19,COVID-19 is coronavirus disease causing respiratory symptoms. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,COVID-19,What are symptoms of covid-19?,COVID-19 is coronavirus disease causing respiratory symptoms. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,COVID-19,How do I treat covid-19?,COVID-19 is coronavirus disease causing respiratory symptoms. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,COVID-19,What causes covid-19?,COVID-19 is coronavirus disease causing respiratory symptoms. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Infectious Diseases,COVID-19,Is covid-19 serious?,COVID-19 is coronavirus disease causing respiratory symptoms. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
